Name,Email,Role,Project,Skills
TOK_A77FDE50,EMAIL_7487972E,,,
TOK_5EF255F2,EMAIL_40BCB52C,,,
TOK_C90E2870,EMAIL_43269A92,,,GCP (intermediate); Java (intermediate); Microsoft SQL Server (intermediate); Git (intermediate); Problem-solving and analytical thinking (expert); SQL (intermediate); JFrog Artifactory (beginner); GitHub Actions (beginner); JavaScript (beginner); Data Analysis using AWS and GCP (intermediate); Lucid Chart  (beginner); Terraform (beginner); Scala (beginner); React JS (beginner); Confluence (beginner); JIRA  (beginner); Shell Scripting (beginner); Autosys (beginner); AWS (beginner); TypeScript (beginner); Spark (intermediate); Python (intermediate); Kubernetes (beginner); Unix (beginner); SonarQube (beginner); Docker (beginner)
TOK_67947360,EMAIL_DDD58DD1,Developer,UKI,GCP (intermediate); TypeScript (beginner); Angular  (beginner); JavaScript (beginner); AWS (beginner); Git (beginner); SQL (beginner); Java (intermediate)
TOK_1BCA326B,EMAIL_ED3B5251,,,"Jenkins (intermediate); Ansible (intermediate); Data engineering (beginner); Azure Data Lake Storage (beginner); Databricks (intermediate); Power BI (beginner); Query optimization (beginner); Spark (beginner); Schema validation (beginner); Azure Data Factory (beginner); Apache Airflow (beginner); Data cleaning and transformation (beginner); MySQL (intermediate); PySpark (beginner); SQL (beginner); Data analysis (beginner); Data standardization (beginner); Speech recognition (beginner); Spring Boot (beginner); Spring Framework (beginner); Spring Data (beginner); AWS (beginner); Azure (beginner); Docker (beginner); ELK Stack (Elasticsearch, Logstash, Kibana) (beginner); GCP (beginner); Helm (beginner); Kafka (beginner); Kubernetes (beginner); Microsoft SQL Server (beginner); Oracle (beginner); Oracle (beginner); PLSQL (beginner); Specflow/Cucumber (beginner); PowerMock (beginner); Mockito (beginner); WireMock (beginner); JPA (beginner); Cassandra (beginner); RabbitMQ (beginner); GraphQL (beginner); Swagger (beginner); Event-driven architecture (beginner); PowerShell scripting (beginner); Microservices architecture (beginner); OpenStack (beginner); Object-oriented programming (beginner); Java EE (J2EE) (beginner); Struts (beginner); Metadata-driven architecture (beginner); Enterprise JavaBeans (EJB) (beginner); Hibernate (beginner); Java Servlets (beginner); JSP (beginner); Continuous integration and continuous delivery (CI/CD) (beginner); Python (beginner); Java (beginner)"
TOK_E0559447,EMAIL_06B72F31,Developer,App Migration,PHP (beginner); C# (beginner); PostgreSQL (intermediate); Python (beginner); Docker (beginner); Git (intermediate); AWS (beginner); SQL (beginner); GCP (beginner); Java (beginner)
TOK_836B2CA7,EMAIL_39CA589C,DevOps Engineer,,GCP (intermediate); Git (intermediate); Argo CD (beginner); Ansible (intermediate); AWS (intermediate); Helm (intermediate); Kubernetes (expert); GitOps (intermediate); PostgreSQL (beginner); GitHub Actions (intermediate); Unix (expert); JFrog Artifactory (intermediate); Jenkins (intermediate); Python (beginner); Splunk (beginner); Docker (expert); Helm charts (intermediate); Harness (intermediate); Terraform (intermediate); Shell Scripting (expert)
TOK_77F3DA76,EMAIL_F4A142D9,,,
TOK_347FF4EF,EMAIL_432090ED,,,ETL Testing (beginner); GCP (beginner); Python (beginner); SQL (beginner)
TOK_5245C2C4,EMAIL_7D869AED,,,
