Name,Email,Role,Project,Skills
TOK_1BCA326B,EMAIL_ED3B5251,,Not Assigned,Python (beginner); Java (beginner)
TOK_4BDB2ACA,EMAIL_79D4C5C0,Head of Delivery,Delivery,Splunk (expert); Openshift (intermediate); Lucid Chart  (expert); Microsoft SQL Server (expert); Kubernetes (expert); Confluence (expert); Python (intermediate); Problem-solving and analytical thinking (expert); Terraform (expert); Ansible (expert); Backlog management  (expert); Stake Holder management (expert); Docker (expert); GitLab (intermediate); Jenkins (expert); Git (expert); Unix (intermediate); Project Manager (intermediate); SQL (expert); Shell Scripting (intermediate); Helm charts (intermediate); GitHub Actions (expert); AWS (intermediate); Docker Swarm (intermediate); Helm (expert); Java (expert); GCP (expert); JFrog Artifactory (expert); Network Security (intermediate); JIRA  (intermediate); PostgreSQL (expert)
TOK_E0559447,EMAIL_06B72F31,Developer,App Migration,PHP (beginner); C# (beginner); PostgreSQL (intermediate); Python (beginner); Docker (beginner); Git (intermediate); AWS (beginner); SQL (beginner); GCP (beginner); Java (beginner)
TOK_D6178AF3,EMAIL_2A8D409B,Developer,DNB - UKI GCP MIGRATION ,C# (beginner); Problem-solving and analytical thinking (intermediate); JIRA  (intermediate); Data Analysis using AWS and GCP (beginner); Requirement gathering  (beginner); Azure DevOps (beginner); Lucid Chart  (beginner); Confluence (intermediate); Angular  (intermediate); Git (intermediate); GCP (intermediate); Python (beginner); AWS (intermediate); TypeScript (beginner); Scala (beginner); Terraform (beginner); JavaScript (beginner); Microsoft SQL Server (beginner); SQL (beginner); Java (intermediate)
TOK_989850A4,EMAIL_6CB07EFF,Associate,DNB - Worldbase,Problem-solving and analytical thinking (intermediate); Java (expert); PostgreSQL (intermediate); GCP (intermediate)
TOK_40F6AA6F,EMAIL_3C49FB01,Web Developer,DnB,PHP (expert); GCP (beginner); JavaScript (intermediate); Microsoft SQL Server (intermediate); Docker (beginner); Git (intermediate)
TOK_67947360,EMAIL_DDD58DD1,Developer,UKI,GCP (intermediate); TypeScript (beginner); Angular  (beginner); JavaScript (beginner); AWS (beginner); Git (beginner); SQL (beginner); Java (intermediate)
TOK_52E04E74,EMAIL_306738B2,Data Enginner,DNB and Stoxx,Terraform (beginner); Docker (beginner); GCP (intermediate); PostgreSQL (beginner); Microsoft SQL Server (beginner); Git (intermediate); Scala (beginner); SQL (intermediate); Python (intermediate)
TOK_753A2112,EMAIL_7C196481,DevOps Engineer,Alix,Linux (expert)
TOK_F1D4850C,EMAIL_19D76351,Senior DevOps Engineer,Not Assigned,AWS CloudFormation (intermediate); Argo CD (intermediate); Azure DevOps (intermediate); GitHub Actions (expert); Datadog (beginner); Harness (beginner); GitOps (intermediate); JFrog Artifactory (expert); Jenkins (intermediate); Helm (intermediate); Helm charts (intermediate); SonarQube (intermediate); Angular  (intermediate); Docker (expert); Kubernetes (intermediate); JavaScript (intermediate); Microsoft SQL Server (beginner); Git (expert); Python (intermediate); GCP (intermediate); C# (intermediate); Terraform (expert); AWS (intermediate); Problem-solving and analytical thinking (intermediate)
TOK_836B2CA7,EMAIL_39CA589C,DevOps Engineer,Not Assigned,GCP (intermediate); Git (intermediate); Argo CD (beginner); Ansible (intermediate); AWS (intermediate); Helm (intermediate); Kubernetes (expert); GitOps (intermediate); PostgreSQL (beginner); GitHub Actions (intermediate); Unix (expert); JFrog Artifactory (intermediate); Jenkins (intermediate); Python (beginner); Splunk (beginner); Docker (expert); Helm charts (intermediate); Harness (intermediate); Terraform (intermediate); Shell Scripting (expert)
TOK_350ABCD0,EMAIL_D07DF9C4,QUALITY ENGINEERING,DNB,ETL Testing (expert)
TOK_958B4E1C,EMAIL_E06974B9,Devops Engineer,Dun & Bradstreet,Git (intermediate); Docker (intermediate); GCP (intermediate); Java (beginner); PostgreSQL (intermediate); Problem-solving and analytical thinking (intermediate); Terraform (intermediate)
TOK_C681CA3C,EMAIL_4496E195,DevOps Engineer,Not Assigned,Ansible (expert); Unix (expert); Kubernetes (intermediate); GitHub Actions (intermediate); Harness (beginner); Jenkins (expert); Puppet (intermediate); Splunk (intermediate); Shell Scripting (expert); SonarQube (intermediate); Git (expert); Problem-solving and analytical thinking (expert); Terraform (expert); GCP (expert); Docker (expert); Python (intermediate)
