txn_id,dept,amount,txn_date,status
1,HR,1000,2024-01-01,COMPLETED
2,IT,2000,2024-01-01,COMPLETED
3,HR,,2024-01-02,FAILED
4,FIN,5000,2024-01-02,COMPLETED
5,OPS,1500,2024-01-03,COMPLETED
6,IT,3000,2024-01-03,PENDING
7,HR,1200,2024-01-04,COMPLETED
8,FIN,7000,2024-01-04,FAILED
9,OPS,,2024-01-05,PENDING
10,IT,2500,2024-01-05,COMPLETED
11,HR,1800,2024-01-06,COMPLETED
12,FIN,9000,2024-01-06,COMPLETED
13,OPS,2200,2024-01-07,FAILED
14,IT,3100,2024-01-07,COMPLETED
15,HR,,2024-01-08,PENDING
16,FIN,4800,2024-01-08,COMPLETED
17,OPS,1600,2024-01-09,COMPLETED
18,IT,2700,2024-01-09,FAILED
19,HR,1400,2024-01-10,COMPLETED
20,FIN,6500,2024-01-10,COMPLETED
21,OPS,,2024-01-11,PENDING
22,IT,3300,2024-01-11,COMPLETED
23,HR,1900,2024-01-12,FAILED
24,FIN,7200,2024-01-12,COMPLETED
25,OPS,2100,2024-01-13,COMPLETED
26,IT,2900,2024-01-13,PENDING
27,HR,,2024-01-14,FAILED
28,FIN,8000,2024-01-14,COMPLETED
29,OPS,1750,2024-01-15,COMPLETED
30,IT,2600,2024-01-15,COMPLETED
31,HR,1550,2024-01-16,PENDING
32,FIN,,2024-01-16,FAILED
33,OPS,2300,2024-01-17,COMPLETED
34,IT,3400,2024-01-17,COMPLETED
35,HR,1650,2024-01-18,COMPLETED
36,FIN,9100,2024-01-18,COMPLETED
37,OPS,1950,2024-01-19,FAILED
38,IT,,2024-01-19,PENDING
39,HR,1750,2024-01-20,COMPLETED
40,FIN,6000,2024-01-20,COMPLETED
41,OPS,2050,2024-01-21,COMPLETED
42,IT,2800,2024-01-21,FAILED
43,HR,,2024-01-22,PENDING
44,FIN,7600,2024-01-22,COMPLETED
45,OPS,1850,2024-01-23,COMPLETED
46,IT,3200,2024-01-23,COMPLETED
47,HR,1450,2024-01-24,FAILED
48,FIN,,2024-01-24,PENDING
49,OPS,2150,2024-01-25,COMPLETED
50,IT,2950,2024-01-25,COMPLETED
51,HR,1700,2024-01-26,COMPLETED
52,FIN,8800,2024-01-26,FAILED
53,OPS,,2024-01-27,PENDING
54,IT,3100,2024-01-27,COMPLETED
55,HR,1600,2024-01-28,COMPLETED
56,FIN,5400,2024-01-28,COMPLETED
57,OPS,2250,2024-01-29,FAILED
58,IT,3600,2024-01-29,COMPLETED
59,HR,,2024-01-30,PENDING
60,FIN,9900,2024-01-30,COMPLETED
61,OPS,1900,2024-01-31,COMPLETED
62,IT,2750,2024-01-31,FAILED
63,HR,1850,2024-02-01,COMPLETED
64,FIN,6700,2024-02-01,COMPLETED
65,OPS,,2024-02-02,PENDING
66,IT,3050,2024-02-02,COMPLETED
67,HR,1950,2024-02-03,FAILED
68,FIN,8200,2024-02-03,COMPLETED
69,OPS,2400,2024-02-04,COMPLETED
70,IT,3500,2024-02-04,COMPLETED
71,HR,,2024-02-05,PENDING
72,FIN,5600,2024-02-05,FAILED
73,OPS,2000,2024-02-06,COMPLETED
74,IT,3250,2024-02-06,COMPLETED
75,HR,1750,2024-02-07,COMPLETED
76,FIN,,2024-02-07,PENDING
77,OPS,2300,2024-02-08,FAILED
78,IT,3700,2024-02-08,COMPLETED
79,HR,1650,2024-02-09,COMPLETED
80,FIN,9100,2024-02-09,COMPLETED
81,OPS,,2024-02-10,PENDING
82,IT,2850,2024-02-10,FAILED
83,HR,1850,2024-02-11,COMPLETED
84,FIN,6400,2024-02-11,COMPLETED
85,OPS,2100,2024-02-12,COMPLETED
86,IT,3150,2024-02-12,PENDING
87,HR,,2024-02-13,FAILED
88,FIN,8700,2024-02-13,COMPLETED
89,OPS,1950,2024-02-14,COMPLETED
90,IT,3600,2024-02-14,COMPLETED
91,HR,1700,2024-02-15,FAILED
92,FIN,,2024-02-15,PENDING
93,OPS,2250,2024-02-16,COMPLETED
94,IT,3400,2024-02-16,COMPLETED
95,HR,1800,2024-02-17,COMPLETED
96,FIN,9200,2024-02-17,COMPLETED
97,OPS,,2024-02-18,PENDING
98,IT,3800,2024-02-18,FAILED
99,HR,1900,2024-02-19,COMPLETED
100,FIN,10000,2024-02-19,COMPLETED
